size,planner,makespan,time
4,HEFT,76254.76555108582,5.197525024414063e-05
4,HEFT,76254.76555108582,5.197525024414063e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,3.4809112548828125e-05
4,HEFT,76254.76555108582,3.4809112548828125e-05
4,HEFT,76254.76555108582,3.2901763916015625e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,5.078315734863281e-05
4,HEFT,76254.76555108582,3.504753112792969e-05
4,HEFT,76254.76555108582,3.504753112792969e-05
4,HEFT,76254.76555108582,5.483627319335938e-05
4,HEFT,76254.76555108582,3.314018249511719e-05
4,HEFT,76254.76555108582,9.226799011230467e-05
4,HEFT,76254.76555108582,5.602836608886719e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,5.388259887695313e-05
4,HEFT,76254.76555108582,4.816055297851562e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.314018249511719e-05
4,HEFT,76254.76555108582,3.504753112792969e-05
4,HEFT,76254.76555108582,5.388259887695313e-05
4,HEFT,76254.76555108582,5.602836608886719e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.504753112792969e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,5.483627319335938e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,5.412101745605469e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,3.504753112792969e-05
4,HEFT,76254.76555108582,5.412101745605469e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,5.5789947509765625e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,5.316734313964844e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,5.602836608886719e-05
4,HEFT,76254.76555108582,5.602836608886719e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,3.314018249511719e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,3.4809112548828125e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,4.601478576660156e-05
4,HEFT,76254.76555108582,3.4809112548828125e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,5.412101745605469e-05
4,HEFT,76254.76555108582,3.4809112548828125e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,3.504753112792969e-05
4,HEFT,76254.76555108582,3.314018249511719e-05
4,HEFT,76254.76555108582,5.388259887695313e-05
4,HEFT,76254.76555108582,5.197525024414063e-05
4,HEFT,76254.76555108582,3.266334533691406e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,5.6743621826171875e-05
4,HEFT,76254.76555108582,3.576278686523437e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.504753112792969e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,5.197525024414063e-05
4,HEFT,76254.76555108582,3.4809112548828125e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,4.720687866210938e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.3855438232421875e-05
4,HEFT,76254.76555108582,3.314018249511719e-05
4,HEFT,76254.76555108582,5.483627319335938e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,3.409385681152344e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
4,HEFT,76254.76555108582,5.292892456054688e-05
4,HEFT,76254.76555108582,5.102157592773438e-05
4,HEFT,76254.76555108582,5.412101745605469e-05
4,HEFT,76254.76555108582,5.507469177246094e-05
