size,planner,makespan,time
4,HEFT,38127.38277554291,3.409385681152344e-05
4,HEFT,38127.38277554291,4.887580871582031e-05
4,HEFT,38127.38277554291,3.3855438232421875e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.0040740966796875e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,4.410743713378906e-05
4,HEFT,38127.38277554291,3.504753112792969e-05
4,HEFT,38127.38277554291,2.9087066650390625e-05
4,HEFT,38127.38277554291,3.62396240234375e-05
4,HEFT,38127.38277554291,2.9802322387695312e-05
4,HEFT,38127.38277554291,5.102157592773438e-05
4,HEFT,38127.38277554291,4.601478576660156e-05
4,HEFT,38127.38277554291,4.911422729492188e-05
4,HEFT,38127.38277554291,2.9802322387695312e-05
4,HEFT,38127.38277554291,3.0040740966796875e-05
4,HEFT,38127.38277554291,2.9802322387695312e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.886222839355469e-05
4,HEFT,38127.38277554291,3.194808959960937e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,4.506111145019531e-05
4,HEFT,38127.38277554291,3.0040740966796875e-05
4,HEFT,38127.38277554291,2.9802322387695312e-05
4,HEFT,38127.38277554291,4.315376281738281e-05
4,HEFT,38127.38277554291,4.816055297851562e-05
4,HEFT,38127.38277554291,3.194808959960937e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.0040740966796875e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,3.123283386230469e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,4.506111145019531e-05
4,HEFT,38127.38277554291,3.814697265625e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,4.673004150390625e-05
4,HEFT,38127.38277554291,4.911422729492188e-05
4,HEFT,38127.38277554291,3.4809112548828125e-05
4,HEFT,38127.38277554291,3.0279159545898438e-05
4,HEFT,38127.38277554291,3.0994415283203125e-05
4,HEFT,38127.38277554291,4.291534423828125e-05
4,HEFT,38127.38277554291,5.006790161132813e-05
4,HEFT,38127.38277554291,5.102157592773438e-05
4,HEFT,38127.38277554291,5.197525024414063e-05
4,HEFT,38127.38277554291,5.197525024414063e-05
