size,planner,makespan,time
4,HEFT,76818.03491483296,4.38690185546875e-05
4,HEFT,76818.03491483296,5.507469177246094e-05
4,HEFT,76818.03491483296,5.888938903808594e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,5.793571472167969e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,5.6743621826171875e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,6.103515625e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,6.175041198730469e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,5.793571472167969e-05
4,HEFT,76818.03491483296,6.031990051269531e-05
4,HEFT,76818.03491483296,5.602836608886719e-05
4,HEFT,76818.03491483296,5.602836608886719e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.695487976074219e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,6.222724914550781e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,6.127357482910156e-05
4,HEFT,76818.03491483296,5.793571472167969e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,3.719329833984375e-05
4,HEFT,76818.03491483296,5.102157592773438e-05
4,HEFT,76818.03491483296,5.292892456054688e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,5.6743621826171875e-05
4,HEFT,76818.03491483296,3.695487976074219e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,3.600120544433594e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.671646118164063e-05
4,HEFT,76818.03491483296,6.318092346191406e-05
4,HEFT,76818.03491483296,5.6743621826171875e-05
4,HEFT,76818.03491483296,6.079673767089844e-05
4,HEFT,76818.03491483296,3.719329833984375e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,6.103515625e-05
4,HEFT,76818.03491483296,6.103515625e-05
4,HEFT,76818.03491483296,3.671646118164063e-05
4,HEFT,76818.03491483296,6.318092346191406e-05
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,6.079673767089844e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,6.103515625e-05
4,HEFT,76818.03491483296,6.175041198730469e-05
4,HEFT,76818.03491483296,3.933906555175781e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.695487976074219e-05
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,3.933906555175781e-05
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,6.079673767089844e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.695487976074219e-05
4,HEFT,76818.03491483296,6.604194641113281e-05
4,HEFT,76818.03491483296,3.981590270996094e-05
4,HEFT,76818.03491483296,6.580352783203125e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.127357482910156e-05
4,HEFT,76818.03491483296,6.079673767089844e-05
4,HEFT,76818.03491483296,6.222724914550781e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,6.103515625e-05
4,HEFT,76818.03491483296,5.507469177246094e-05
4,HEFT,76818.03491483296,6.103515625e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,3.671646118164063e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,6.389617919921875e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,5.793571472167969e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,3.933906555175781e-05
4,HEFT,76818.03491483296,4.100799560546875e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.175041198730469e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.389617919921875e-05
4,HEFT,76818.03491483296,6.318092346191406e-05
4,HEFT,76818.03491483296,6.389617919921875e-05
4,HEFT,76818.03491483296,5.91278076171875e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,5.698204040527344e-05
4,HEFT,76818.03491483296,6.175041198730469e-05
4,HEFT,76818.03491483296,6.604194641113281e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,5.817413330078125e-05
4,HEFT,76818.03491483296,5.507469177246094e-05
4,HEFT,76818.03491483296,5.602836608886719e-05
4,HEFT,76818.03491483296,6.508827209472656e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,6.389617919921875e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,4.029273986816406e-05
4,HEFT,76818.03491483296,3.695487976074219e-05
4,HEFT,76818.03491483296,6.508827209472656e-05
4,HEFT,76818.03491483296,5.793571472167969e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.981590270996094e-05
4,HEFT,76818.03491483296,5.292892456054688e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,4.029273986816406e-05
4,HEFT,76818.03491483296,6.723403930664062e-05
4,HEFT,76818.03491483296,6.604194641113281e-05
4,HEFT,76818.03491483296,4.100799560546875e-05
4,HEFT,76818.03491483296,6.389617919921875e-05
4,HEFT,76818.03491483296,6.461143493652344e-05
4,HEFT,76818.03491483296,4.100799560546875e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,4.1961669921875e-05
4,HEFT,76818.03491483296,6.508827209472656e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,3.981590270996094e-05
4,HEFT,76818.03491483296,6.628036499023438e-05
4,HEFT,76818.03491483296,6.985664367675781e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,5.888938903808594e-05
4,HEFT,76818.03491483296,4.1961669921875e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,4.100799560546875e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,4.124641418457031e-05
4,HEFT,76818.03491483296,6.604194641113281e-05
4,HEFT,76818.03491483296,0.0001277923583984375
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.981590270996094e-05
4,HEFT,76818.03491483296,6.318092346191406e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.604194641113281e-05
4,HEFT,76818.03491483296,4.076957702636719e-05
4,HEFT,76818.03491483296,6.508827209472656e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,6.079673767089844e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,6.198883056640625e-05
4,HEFT,76818.03491483296,4.1961669921875e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,4.029273986816406e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,6.389617919921875e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,6.604194641113281e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.318092346191406e-05
4,HEFT,76818.03491483296,3.814697265625e-05
4,HEFT,76818.03491483296,3.981590270996094e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,6.29425048828125e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,4.100799560546875e-05
4,HEFT,76818.03491483296,4.029273986816406e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,3.981590270996094e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,4.124641418457031e-05
4,HEFT,76818.03491483296,4.00543212890625e-05
4,HEFT,76818.03491483296,3.886222839355469e-05
4,HEFT,76818.03491483296,3.790855407714844e-05
4,HEFT,76818.03491483296,3.910064697265625e-05
4,HEFT,76818.03491483296,6.413459777832031e-05
4,HEFT,76818.03491483296,8.082389831542969e-05
