size,planner,makespan,time
4,HEFT,25507341.84087621,0.007361888885498047
4,HEFT,25507341.84087621,0.004676103591918945
4,HEFT,25507341.84087621,0.00465703010559082
4,HEFT,25507341.84087621,0.004875898361206055
4,HEFT,25507341.84087621,0.004541873931884766
4,HEFT,25507341.84087621,0.004827022552490234
4,HEFT,25507341.84087621,0.004642724990844727
4,HEFT,25507341.84087621,0.005078792572021484
4,HEFT,25507341.84087621,0.004770040512084961
4,HEFT,25507341.84087621,0.004601716995239258
4,HEFT,25507341.84087621,0.004835128784179688
4,HEFT,25507341.84087621,0.004996061325073242
4,HEFT,25507341.84087621,0.004584074020385742
4,HEFT,25507341.84087621,0.004608154296875
4,HEFT,25507341.84087621,0.004644155502319336
4,HEFT,25507341.84087621,0.004971027374267578
4,HEFT,25507341.84087621,0.004774808883666992
4,HEFT,25507341.84087621,0.004733800888061523
4,HEFT,25507341.84087621,0.004800081253051758
4,HEFT,25507341.84087621,0.02590012550354004
4,HEFT,25507341.84087621,0.004669904708862305
4,HEFT,25507341.84087621,0.005393028259277344
4,HEFT,25507341.84087621,0.005341768264770508
4,HEFT,25507341.84087621,0.004946231842041016
4,HEFT,25507341.84087621,0.004900932312011719
4,HEFT,25507341.84087621,0.004853963851928711
4,HEFT,25507341.84087621,0.005402088165283203
4,HEFT,25507341.84087621,0.004678726196289063
4,HEFT,25507341.84087621,0.004863977432250977
4,HEFT,25507341.84087621,0.004737138748168945
4,HEFT,25507341.84087621,0.005089998245239258
4,HEFT,25507341.84087621,0.004916906356811523
4,HEFT,25507341.84087621,0.004637002944946289
4,HEFT,25507341.84087621,0.004866123199462891
4,HEFT,25507341.84087621,0.004793882369995117
4,HEFT,25507341.84087621,0.005530118942260742
4,HEFT,25507341.84087621,0.0047760009765625
4,HEFT,25507341.84087621,0.004786968231201172
4,HEFT,25507341.84087621,0.004922151565551758
4,HEFT,25507341.84087621,0.004925966262817383
4,HEFT,25507341.84087621,0.004724264144897461
4,HEFT,25507341.84087621,0.004902124404907226
4,HEFT,25507341.84087621,0.004842042922973633
4,HEFT,25507341.84087621,0.004883766174316406
4,HEFT,25507341.84087621,0.004730939865112305
4,HEFT,25507341.84087621,0.004780054092407226
4,HEFT,25507341.84087621,0.004953861236572266
4,HEFT,25507341.84087621,0.004698038101196289
4,HEFT,25507341.84087621,0.004823923110961914
4,HEFT,25507341.84087621,0.004724025726318359
4,HEFT,25507341.84087621,0.005028963088989258
4,HEFT,25507341.84087621,0.004707098007202149
4,HEFT,25507341.84087621,0.005050182342529297
4,HEFT,25507341.84087621,0.004918098449707031
4,HEFT,25507341.84087621,0.004929065704345703
4,HEFT,25507341.84087621,0.005039691925048828
4,HEFT,25507341.84087621,0.004683017730712891
4,HEFT,25507341.84087621,0.004911184310913086
4,HEFT,25507341.84087621,0.004873991012573242
4,HEFT,25507341.84087621,0.004983186721801758
4,HEFT,25507341.84087621,0.004753828048706055
4,HEFT,25507341.84087621,0.00471806526184082
4,HEFT,25507341.84087621,0.004745960235595703
4,HEFT,25507341.84087621,0.029631853103637695
4,HEFT,25507341.84087621,0.005069732666015625
4,HEFT,25507341.84087621,0.005094051361083984
4,HEFT,25507341.84087621,0.005612850189208984
4,HEFT,25507341.84087621,0.005007028579711914
4,HEFT,25507341.84087621,0.004877090454101562
4,HEFT,25507341.84087621,0.004756927490234375
4,HEFT,25507341.84087621,0.005218029022216797
4,HEFT,25507341.84087621,0.004977941513061523
4,HEFT,25507341.84087621,0.004911661148071289
4,HEFT,25507341.84087621,0.005026102066040039
4,HEFT,25507341.84087621,0.005106925964355469
4,HEFT,25507341.84087621,0.004976272583007813
4,HEFT,25507341.84087621,0.004899263381958008
4,HEFT,25507341.84087621,0.005115985870361328
4,HEFT,25507341.84087621,0.005264997482299805
4,HEFT,25507341.84087621,0.005167245864868164
4,HEFT,25507341.84087621,0.004867076873779297
4,HEFT,25507341.84087621,0.00516200065612793
4,HEFT,25507341.84087621,0.008441925048828125
4,HEFT,25507341.84087621,0.005519866943359375
4,HEFT,25507341.84087621,0.004874944686889648
4,HEFT,25507341.84087621,0.005038022994995117
4,HEFT,25507341.84087621,0.005189180374145508
4,HEFT,25507341.84087621,0.004886150360107422
4,HEFT,25507341.84087621,0.004977941513061523
4,HEFT,25507341.84087621,0.005001068115234375
4,HEFT,25507341.84087621,0.005525827407836914
4,HEFT,25507341.84087621,0.004904031753540039
4,HEFT,25507341.84087621,0.005083084106445313
4,HEFT,25507341.84087621,0.005281925201416016
4,HEFT,25507341.84087621,0.005391836166381836
4,HEFT,25507341.84087621,0.004971027374267578
4,HEFT,25507341.84087621,0.004815101623535156
4,HEFT,25507341.84087621,0.005208730697631836
4,HEFT,25507341.84087621,0.005254745483398438
4,HEFT,25507341.84087621,0.005158901214599609
4,HEFT,25507341.84087621,0.005012989044189453
4,HEFT,25507341.84087621,0.004881143569946289
4,HEFT,25507341.84087621,0.005379676818847656
4,HEFT,25507341.84087621,0.005222797393798828
4,HEFT,25507341.84087621,0.005178928375244141
4,HEFT,25507341.84087621,0.005147933959960938
4,HEFT,25507341.84087621,0.00544285774230957
4,HEFT,25507341.84087621,0.004995107650756836
4,HEFT,25507341.84087621,0.005085945129394531
4,HEFT,25507341.84087621,0.00488591194152832
4,HEFT,25507341.84087621,0.005154132843017578
4,HEFT,25507341.84087621,0.004883289337158203
4,HEFT,25507341.84087621,0.005229711532592773
4,HEFT,25507341.84087621,0.005069971084594727
4,HEFT,25507341.84087621,0.005216121673583984
4,HEFT,25507341.84087621,0.005105972290039063
4,HEFT,25507341.84087621,0.005101680755615234
4,HEFT,25507341.84087621,0.004971981048583984
4,HEFT,25507341.84087621,0.005390644073486328
4,HEFT,25507341.84087621,0.005008935928344727
4,HEFT,25507341.84087621,0.005048036575317383
4,HEFT,25507341.84087621,0.004954814910888672
4,HEFT,25507341.84087621,0.005559206008911133
4,HEFT,25507341.84087621,0.005077838897705078
4,HEFT,25507341.84087621,0.005072832107543945
4,HEFT,25507341.84087621,0.005166769027709961
4,HEFT,25507341.84087621,0.005303859710693359
4,HEFT,25507341.84087621,0.005538225173950195
