size,planner,makespan,time
4,HEFT,68058.32930703841,3.409385681152344e-05
4,HEFT,68058.32930703841,3.0994415283203125e-05
4,HEFT,68058.32930703841,3.0994415283203125e-05
4,HEFT,68058.32930703841,3.0279159545898438e-05
4,HEFT,68058.32930703841,3.0040740966796875e-05
4,HEFT,68058.32930703841,2.9087066650390625e-05
4,HEFT,68058.32930703841,2.7894973754882812e-05
4,HEFT,68058.32930703841,3.409385681152344e-05
4,HEFT,68058.32930703841,2.9802322387695312e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,3.3855438232421875e-05
4,HEFT,68058.32930703841,3.194808959960937e-05
4,HEFT,68058.32930703841,3.0994415283203125e-05
4,HEFT,68058.32930703841,4.315376281738281e-05
4,HEFT,68058.32930703841,2.7894973754882812e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,3.0040740966796875e-05
4,HEFT,68058.32930703841,2.9087066650390625e-05
4,HEFT,68058.32930703841,3.2901763916015625e-05
4,HEFT,68058.32930703841,3.0040740966796875e-05
4,HEFT,68058.32930703841,2.9325485229492188e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,2.8371810913085938e-05
4,HEFT,68058.32930703841,5.388259887695313e-05
4,HEFT,68058.32930703841,3.0040740966796875e-05
4,HEFT,68058.32930703841,2.9802322387695312e-05
4,HEFT,68058.32930703841,3.0994415283203125e-05
4,HEFT,68058.32930703841,3.671646118164063e-05
4,HEFT,68058.32930703841,3.0040740966796875e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,2.9087066650390625e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,4.291534423828125e-05
4,HEFT,68058.32930703841,2.9802322387695312e-05
4,HEFT,68058.32930703841,2.8133392333984368e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,2.9087066650390625e-05
4,HEFT,68058.32930703841,2.9802322387695312e-05
4,HEFT,68058.32930703841,2.9087066650390625e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,3.0994415283203125e-05
4,HEFT,68058.32930703841,2.8133392333984368e-05
4,HEFT,68058.32930703841,2.8848648071289062e-05
4,HEFT,68058.32930703841,2.8133392333984368e-05
